date,SP500_Daily_P/E
2019-11-12,22.721400594877558
2019-11-13,22.728756065673547
2019-11-14,22.761844705940874
2019-11-15,22.926556019636127
2019-11-18,22.943467503403227
2019-11-19,22.93684879949957
2019-11-20,22.851554613771754
2019-11-21,22.814782139042755
2019-11-22,22.865531228096874
2019-11-25,23.04273586383068
2019-11-26,23.09494628854211
2019-11-27,23.197888724929356
2019-11-29,23.111862651560152
2019-12-02,23.1547
2019-12-03,22.99941422844398
2019-12-04,23.14132196586604
2019-12-05,23.18293265615187
2019-12-06,23.39468620509992
2019-12-09,23.32113536587845
2019-12-10,23.295128684449804
2019-12-11,23.361247282485746
2019-12-12,23.56260555412719
2019-12-13,23.57672064965898
2019-12-16,23.73869174064955
2019-12-17,23.743898007111852
2019-12-18,23.745384455348955
2019-12-19,23.842716001275836
2019-12-20,23.947245605000973
2019-12-23,23.983834910446024
2019-12-24,23.98457690202044
2019-12-26,24.11224628949635
2019-12-27,24.106278310753343
2019-12-30,23.97337554084397
2019-12-31,24.03161325162612
2020-01-02,27.7273
2020-01-03,27.5173492341376
2020-01-06,27.622321799240297
2020-01-07,27.54465962795757
2020-01-08,27.691460039311156
2020-01-09,27.87922322356621
2020-01-10,27.79899401052017
2020-01-13,27.990186492059465
2020-01-14,27.94749920811613
2020-01-15,28.010663651767434
2020-01-16,28.24366707258663
2020-01-17,28.331572050466097
2020-01-21,28.276094642962214
2020-01-22,28.27950985110396
2020-01-23,28.311937421479552
2020-01-24,28.06015599153777
2020-01-27,27.61037138857269
2020-01-28,27.899711654588184
2020-01-29,27.876661817459897
2020-01-30,27.967133837102672
2020-01-31,27.459310420527416
2020-02-03,25.3952
2020-02-04,25.782254647182835
2020-02-05,26.079989787107124
2020-02-06,26.16774428229202
2020-02-07,26.028277131959108
2020-02-10,26.22258437479054
2020-02-11,26.268031808050285
2020-02-12,26.437267816141354
2020-02-13,26.40906397045686
2020-02-14,26.451376205975645
2020-02-18,26.383211523078078
2020-02-19,26.509356669808756
2020-02-20,26.400447350262866
2020-02-21,26.12856465771737
2020-02-24,25.262003245148986
2020-02-25,24.49650798418047
2020-02-26,24.406404677486677
2020-02-27,23.3102753946884
2020-02-28,23.21233668043904
2020-03-02,22.2177
2020-03-03,21.581554841708417
2020-03-04,22.488693432809995
2020-03-05,21.74112984315843
2020-03-06,21.381725959819462
2020-03-09,19.711931540376813
2020-03-10,20.7319184038338
2020-03-11,19.72127356374363
2020-03-12,17.834398429853895
2020-03-13,19.35899575933335
2020-03-16,17.240659626329645
2020-03-17,18.17152052546492
2020-03-18,17.251440983412195
2020-03-19,17.28810068262694
2020-03-20,16.54308232860624
2020-03-23,16.120108070587523
2020-03-24,17.580642590521574
2020-03-25,17.843827074293458
2020-03-26,18.88572669597666
2020-03-27,18.32320114339412
2020-03-30,18.918257061860213
2020-03-31,18.636276991891155
2020-04-01,29.3503
2020-04-02,30.027572302715132
2020-04-03,29.593541703625473
2020-04-06,31.58123406891582
2020-04-07,31.61342391014892
2020-04-08,32.67463589670234
2020-04-09,33.17186033973009
2020-04-13,32.86900187604337
2020-04-14,33.83839160666841
2020-04-15,33.11939774742253
2020-04-16,33.27917676969396
2020-04-17,34.17821848862721
2020-04-20,33.576074731472104
2020-04-21,32.5565901719372
2020-04-22,33.27917676969396
2020-04-23,33.27678552434521
2020-04-24,33.74062450346548
2020-04-27,34.22710791071643
2020-04-28,34.06972404745226
2020-04-29,34.96161551229033
2020-04-30,34.63610087949742
2020-05-01,30.6793
2020-05-04,30.763916073662642
2020-05-05,31.048159564809396
2020-05-06,30.83768941095771
2020-05-07,31.209807137926813
2020-05-08,31.726199133994484
2020-05-11,31.73271189748096
2020-05-12,31.100233186037453
2020-05-13,30.550202000983088
2020-05-14,30.91581052529868
2020-05-15,31.057926929622617
2020-05-18,32.00392986165477
2020-05-19,31.675225810151517
2020-05-20,32.21331396145322
2020-05-21,31.990911456347753
2020-05-22,32.05167707083469
2020-05-26,32.446562763759225
2020-05-27,32.92933693583796
2020-05-28,32.86858912551585
2020-05-29,33.01504262438681
2020-06-01,31.2435
2020-06-02,31.50220252402141
2020-06-03,31.92144211028197
2020-06-04,31.837600905427667
2020-06-05,32.65358012048737
2020-06-08,33.04826911175536
2020-06-09,32.80184020713076
2020-06-10,32.61881996842475
2020-06-11,30.73836857135399
2020-06-12,31.106483179689498
2020-06-15,31.396888358570752
2020-06-16,32.00120553346628
2020-06-17,31.868273207223567
2020-06-18,31.880540114222583
2020-06-19,31.69834885664621
2020-06-22,31.90170766071857
2020-06-23,32.04857156861734
2020-06-24,31.23104850206118
2020-06-25,31.565866261056815
2020-06-26,30.81613169999072
2020-06-29,31.269040673669632
2020-06-30,31.669589588226348
2020-07-01,33.2938
2020-07-02,33.47714591278736
2020-07-06,33.99395027737651
2020-07-07,33.64333730812694
2020-07-08,33.90065857362564
2020-07-09,33.707677259902546
2020-07-10,34.05184326998059
2020-07-13,33.756996497564884
2020-07-14,34.19444370004733
2020-07-15,34.50859631215609
2020-07-16,34.39494413028245
2020-07-17,34.4946477553833
2020-07-20,34.77343319038467
2020-07-21,34.84741555066033
2020-07-22,35.045771666214485
2020-07-23,34.627616288296466
2020-07-24,34.40459705012898
2020-07-27,34.65548887536693
2020-07-28,34.435693116785224
2020-07-29,34.85920577762352
2020-07-30,34.73483552612719
2020-07-31,35.00930430150934
2020-08-03,35.6266
2020-08-04,35.764211710481966
2020-08-05,35.98634575658402
2020-08-06,36.22689271199588
2020-08-07,36.25289740545185
2020-08-10,36.361264458628135
2020-08-11,36.06111279121405
2020-08-12,36.56389852558231
2020-08-13,36.49778201738379
2020-08-14,36.49886908722188
2020-08-17,36.61481376076796
2020-08-18,36.69391491097398
2020-08-19,36.54114087786424
2020-08-20,36.65490432984593
2020-08-21,36.78493487901399
2020-08-24,37.157686523270094
2020-08-25,37.287717072438156
2020-08-26,37.66154162275597
2020-08-27,37.74387919586759
2020-08-28,37.98769798362602
2020-08-31,37.85007210936767
2020-09-01,34.229
2020-09-02,34.72408284206559
2020-09-03,33.5290844993499
2020-09-04,33.2553239650708
2020-09-08,32.346689730370166
2020-09-09,32.98545585087073
2020-09-10,32.41270225638861
